sku,product_type,category
922590,Cutlery Sets & Canteens,Cutlery:1
922591,Cutlery Sets & Canteens,Cutlery:1
1103912,Cutlery Storage,Cutlery:1
1103950,Cutlery Storage,Cutlery:1
1103951,Cutlery Storage,Cutlery:1
507632,Cutlery Storage,Cutlery:1
508297,Cutlery Storage,Cutlery:1
508470,Cutlery Storage,Cutlery:1
508905,Cutlery Storage,Cutlery:1
509058,Cutlery Storage,Cutlery:1
509085,Cutlery Storage,Cutlery:1
509668,Cutlery Storage,Cutlery:1
509670,Cutlery Storage,Cutlery:1
511114,Cutlery Storage,Cutlery:1
511132,Cutlery Storage,Cutlery:1
511133,Cutlery Storage,Cutlery:1
511134,Cutlery Storage,Cutlery:1
511135,Cutlery Storage,Cutlery:1
511252,Cutlery Storage,Cutlery:1
805154,Cutlery Storage,Cutlery:1
805155,Cutlery Storage,Cutlery:1
805156,Cutlery Storage,Cutlery:1
805157,Cutlery Storage,Cutlery:1
906550,Cutlery Storage,Cutlery:1
1104456,Tumblers,Tableware & Drinkware:1
1104458,Tumblers,Tableware & Drinkware:1
1104484,Tumblers,Tableware & Drinkware:1
1206302,Tumblers,Tableware & Drinkware:1
1206310,Tumblers,Tableware & Drinkware:1
1206317,Tumblers,Tableware & Drinkware:1
1206324,Tumblers,Tableware & Drinkware:1
1206335,Glasswares,Tableware & Drinkware:1
1206336,Glasswares,Tableware & Drinkware:1
1206337,Glasswares,Tableware & Drinkware:1
1206338,Glasswares,Tableware & Drinkware:1
1206339,Glasswares,Tableware & Drinkware:1
1402492,Glasswares,Tableware & Drinkware:1
1402556,Glasswares,Tableware & Drinkware:1
1402558,Glasswares,Tableware & Drinkware:1
1402559,Glasswares,Tableware & Drinkware:1
1402560,Glasswares,Tableware & Drinkware:1
1402597,Glasswares,Tableware & Drinkware:1
1402598,Glasswares,Tableware & Drinkware:1
1402615,Glasswares,Tableware & Drinkware:1
1404045,Glasswares,Tableware & Drinkware:1
1404048,Glasswares,Tableware & Drinkware:1
1404051,Glasswares,Tableware & Drinkware:1
